date,user_id,downloads
24/8/2020,1,6
22/8/2020,2,6
18/8/2020,3,2
24/8/2020,4,4
19/8/2020,5,7
21/8/2020,6,3
24/8/2020,7,1
24/8/2020,8,8
17/8/2020,9,5
16/8/2020,10,4
22/8/2020,11,8
19/8/2020,12,6
15/8/2020,13,3
21/8/2020,14,0
24/8/2020,15,0
15/8/2020,16,5
18/8/2020,17,5
23/8/2020,18,8
15/8/2020,19,6
25/8/2020,20,4
16/8/2020,21,1
25/8/2020,22,4
22/8/2020,23,7
21/8/2020,24,4
25/8/2020,25,5
23/8/2020,26,6
19/8/2020,27,9
24/8/2020,28,3
20/8/2020,29,0
25/8/2020,30,8
20/8/2020,31,5
21/8/2020,32,8
15/8/2020,33,6
24/8/2020,34,4
25/8/2020,35,1
24/8/2020,36,7
17/8/2020,37,8
16/8/2020,38,8
17/8/2020,39,1
20/8/2020,40,8
18/8/2020,41,3
16/8/2020,42,0
23/8/2020,43,9
25/8/2020,44,9
16/8/2020,45,2
15/8/2020,46,2
21/8/2020,47,1
21/8/2020,48,4
22/8/2020,49,8
17/8/2020,50,6
21/8/2020,51,4
20/8/2020,52,7
16/8/2020,53,7
20/8/2020,54,6
20/8/2020,55,0
21/8/2020,56,8
18/8/2020,57,5
17/8/2020,58,2
24/8/2020,59,3
20/8/2020,60,7
22/8/2020,61,8
15/8/2020,62,6
23/8/2020,63,3
17/8/2020,64,4
16/8/2020,65,4
16/8/2020,66,3
19/8/2020,67,1
18/8/2020,68,2
17/8/2020,69,4
22/8/2020,70,7
20/8/2020,71,6
15/8/2020,72,2
17/8/2020,73,7
22/8/2020,74,1
17/8/2020,75,8
19/8/2020,76,0
25/8/2020,77,1
25/8/2020,78,0
17/8/2020,79,8
23/8/2020,80,7
24/8/2020,81,2
21/8/2020,82,0
24/8/2020,83,4
21/8/2020,84,0
25/8/2020,85,7
22/8/2020,86,1
20/8/2020,87,2
19/8/2020,88,3
22/8/2020,89,8
24/8/2020,90,0
22/8/2020,91,9
25/8/2020,92,7
25/8/2020,93,0
17/8/2020,94,1
23/8/2020,95,2
24/8/2020,96,3
21/8/2020,97,8
24/8/2020,98,0
21/8/2020,99,9
25/8/2020,100,7
